yhyh 一一
yhxw 一现
yhbw 一班
yhqw 一球
yhbx 一瓣
yhpw 一瓶
yhsn 一生
yhsv 一甩
yhnt 一男
yhhh 一画
yhft 一番
yhbb 一病
yhbh 一百
yhzp 一皱
yhpm 一盆
yhzm 一盏
yhhr 一盒
yhgy 一盖
yhpz 一盘
yhzs 一直
yhsm 一省
yhku 一看
yhsm 一眚
yhzs 一真
yhzm 一眨
yhyi 一眼
yhzo 一着
yhdm 一睹
yhpm 一瞥
yhsm 一瞬
yhdh 一石
yhms 一码
yhts 一砣
yhpe 一破
yhws 一碗
yhds 一碟
yhps 一碰
yhpx 一票
yhzh 一种
yhkh 一科
yhmh 一秒
yhch 一程
yhkx 一空
yhwx 一窝
yhsl 一竖
yhzl 一站
yhzy 一章
yhdl 一端
yhxu 一笑
yhbp 一笔
yhdp 一等
yhkp 一筐
yhcp 一筹
yhqp 一签
yhjp 一简
yhsp 一算
yhgp 一管
yhjp 一箭
yhxp 一箱
yhpp 一篇
yhkp 一篑
yhlp 一篮
yhcp 一簇
yhmd 一米
yhlm 一类
yhlm 一粒
yhxx 一系
yhss 一索
yhhj 一红
yhjj 一级
yhzj 一纸
yhxa 一线
yhzj 一组
yhja 一经
yhjj 一绝
yhtj 一统
yhxj 一绪
yhwa 一维
yhlj 一绺
yhlj 一缕
yhgf 一缸
yhgf 一罐
yhwk 一网
yhqy 一群
yhfv 一翻
yhzt 一者
yhzv 一职
yhjv 一聚
yhgv 一股
yhtv 一胎
yhmv 一脉
yhjv 一脚
yhlv 一脸
yhqv 一腔
yhtv 一腿
yhzw 一致
yhbz 一般
yhcz 一船
yhsz 一艘
yhsd 一色
yhjc 一节
yhjc 一茎
yhcc 一茬
yhcc 一草
yhxp 一血
yhxc 一行
yhhc 一行
yhbv 一表
yhdy 一袋
yhbn 一被
yhxl 一袭
yhji 一见
yhlj 一览
yhjx 一觉
yhjp 一角
yhyd 一言
yhjy 一记
yhjy 一讲
yhcy 一词
yhsy 一试
yhyy 一语
yhso 一说
yhdy 一读
yhky 一课
yhgm 一贯
yhtb 一贴
yhzt 一走
yhqe 一起
yhtz 一趟
yhzs 一足
yhyz 一跃
yhdz 一跌
yhjz 一跤
yhlz 一路
yhtz 一跳
yhsp 一身
yhts 一躺
yhch 一车
yhzc 一转
yhlc 一轮
yhqc 一轻
yhlc 一辆
yhbc 一辈
yhhx 一辉
yhba 一边
yhge 一过
yhje 一进
yhll 一连
yhxl 一选
yhtl 一通
yhyl 一遇
yhbl 一遍
yhdo 一道
yhzl 一遭
yhlv 一郎
yhbo 一部
yhcv 一重
yhzj 一针
yhgj 一钢
yhmj 一铭
yhgj 一锅
yhcj 一错
yhdj 一锭
yhjj 一键
yhqj 一锹
yhcp 一长
yhmo 一门
yhsm 一闪
yhwm 一问
yhjm 一间
yhwm 一闻
yhqm 一阙
yhdv 一队
yhzv 一阵
yhjv 一阶
yhyv 一院
yhyv 一隅
yhjz 一集
yhlv 一零
yhzv 一震
yhsv 一霎
yhqh 一青
yhme 一面
yhyh 一页
yhdy 一顶
yhxg 一项
yhgy 一顾
yhdy 一顿
yhky 一颗
yhty 一题
yhcy 一颤
yhfa 一飞
yhcs 一餐
yhsb 一首
yhmz 一马
yhqm 一骑
yhgo 一高
yhmk 一鸣
yhqw 一齐
dhdh 丁丁
dhcz 丁丑
dhdh 丁东
dhhw 丁亥
dhwr 丁伟
dhks 丁克
dhch 丁册
dhdw 丁冬
dhla 丁力
dhmv 丁卯
dhki 丁口
dhdk 丁叮
dhbt 丁坝
dhjq 丁基
dhbt 丁堡
dhzz 丁壮
dhkt 丁壳
dhte 丁天
dhza 丁子
dhzg 丁字
dhng 丁宁
dhzm 丁寨
dhda 丁对
dhsj 丁巳
dhnu 丁年
dhdg 丁度
dhdi 丁当
dhyc 丁徭
dhyl 丁忧
dhzx 丁总
dhwv 丁未
dhqm 丁桥
dhhd 丁火
dhqh 丁炔
dhdb 丁点
dhxh 丁烯
dhwh 丁烷
dhlw 丁玲
dhnt 丁男
dhls 丁磊
dhzh 丁种
dhsh 丁税
dhlm 丁类
dhjy 丁艰
dhbc 丁苯
dhsz 丁蜀
dhbo 丁部
dhyh 丁酉
dhty 丁酮
dhzy 丁酯
dhsy 丁酸
dhcy 丁醇
dhqy 丁醛
dhlv 丁零
dhxh 丁香
qhyh 七一
qhqh 七七
qhwh 七万
qhgr 七个
qhzi 七中
qhjp 七九
qhwh 七五
qhrp 七人
qhyr 七亿
qhfr 七份
qhwr 七位
qhbr 七倍
qhbp 七八
qhgu 七公
qhfu 七分
qhsh 七十
qhqs 七千
qhkb 七卡
qhjb 七卷
qhyy 七友
qhgs 七古
qhzk 七只
qhts 七台
qhhk 七号
qhmu 七名
qhdk 七吨
qhzk 七周
qhpi 七品
qhxt 七喜
qhgi 七国
qhst 七声
qhxp 七夕
qhyw 七夜
qhde 七大
qhte 七天
qhza 七子
qhka 七孔
qhbg 七宝
qhch 七寸
qhcs 七尺
qhjs 七局
qhcs 七层
qhjs 七届
qhss 七岁
qhnu 七年
qhmg 七庙
qhdg 七度
qhcp 七彩
qhlc 七律
qhgl 七怪
qhql 七情
qhce 七成
qhzf 七折
qhjp 七斤
qhri 七日
qhxb 七旬
qhsq 七时
qhxq 七星
qhyq 七曜
qhyp 七月
qhtw 七条
qhgm 七根
qhqm 七桥
qhlm 七楼
qhco 七次
qhbn 七步
qhds 七段
qhdb 七点
qhnp 七牛
qhbw 七班
qhjt 七界
qhlt 七略
qhbh 七百
qhzh 七种
qhqx 七窍
qhzy 七章
qhjj 七级
qhzj 七组
qhjj 七绝
qhsd 七色
qhjc 七节
qhhc 七行
qhyd 七言
qhxb 七贤
qhtz 七趟
qhlc 七轮
qhbl 七遍
qhlv 七郎
qhbo 七部
qhli 七里
qhjp 七金
qhxz 七雄
qhyd 七音
qhxg 七项
whyh 万一
whwh 万万
whzh 万丈
whbh 万不
whsc 万世
whlh 万两
whgr 万个
whfv 万丰
whsp 万乘
whse 万事
whkv 万亏
whmw 万亩
whrp 万人
whyr 万亿
whdr 万代
whjr 万件
whzr 万众
whyr 万余
mhqr 万俟
whbr 万倍
whyv 万元
whzp 万兆
whqu 万全
whch 万册
whjg 万军
whfu 万分
whdl 万到
whqs 万千
whsn 万升
whhs 万华
whbs 万博
whkb 万卡
whjb 万卷
whlc 万历
whxs 万县
whbw 万变
whgs 万古
whzk 万只
whts 万台
whmu 万名
whxk 万向
whdk 万吨
whhh 万和
whgi 万国
whsy 万圣
whct 万场
whkt 万块
whjq 万基
whht 万壑
whcw 万处
whdx 万多
whfe 万夫
whto 万头
whtd 万套
whzg 万字
whng 万宁
whyg 万宇
whvo 万安
whbg 万宝
whjo 万家
whsc 万寿
whss 万山
whss 万岁
whzd 万州
whnu 万年
whxt 万幸
whzg 万张
whdc 万德
whvx 万恶
whgx 万感
whhd 万户
whjp 万斤
whsq 万斯
whfo 万方
whcq 万春
whye 万有
whww 万望
whmh 万木
whjm 万机
whtw 万条
whzm 万株
whkm 万棵
whco 万次
whsd 万死
whma 万民
whss 万水
whhd 万汇
whyd 万源
whlx 万灵
whpu 万片
whwn 万物
whzz 万状
whwh 万王
whpw 万瓶
whyu 万用
whdb 万的
whzm 万盏
whpz 万盘
whsm 万盛
whms 万码
whsn 万神
whfn 万福
whzh 万种
whkh 万科
whxd 万穴
whdl 万端
whxp 万箱
whpp 万篇
whlp 万籁
whmd 万米
whlm 万类
whzx 万紫
whxa 万线
whxj 万绪
whwa 万维
whlj 万缕
whwk 万网
whgv 万股
whns 万能
whzt 万至
whbz 万般
whsd 万色
whhc 万花
whrm 万荣
whhc 万行
whyd 万言
whjy 万计
whcy 万词
whyy 万语
whxd 万象
whhw 万豪
whgm 万贯
whlc 万轮
whzc 万载
whlc 万辆
whdl 万达
whtl 万通
whbl 万遍
whdo 万道
whbv 万邦
whli 万里
whcv 万重
whjp 万金
whzj 万钟
whjj 万钧
whdj 万锭
whmo 万门
whlv 万隆
whny 万难
whqy 万顷
whsy 万顺
whmz 万马
zhve 丈二
zhrp 丈人
zhyr 丈余
zhwu 丈外
zhfe 丈夫
zhmz 丈母
zhxy 丈许
zhlq 丈量
svyh 三一
svqh 三七
svwh 三万
svzh 三丈
svsv 三三
svsi 三上
svxb 三下
svbh 三不
svsc 三世
svys 三业
svlh 三两
svyc 三严
svgr 三个
svzi 三中
svfv 三丰
svwo 三为
svlx 三乐
svjp 三九
svls 三乱
svwh 三五
svjv 三井
svyy 三亚
svcl 三产
svmw 三亩
svrp 三人
svyr 三亿
svcu 三从
svdr 三代
svjr 三件
svfr 三份
svfr 三伏
svyr 三优
svhu 三会
svwr 三位
svtu 三体
svyr 三余
svxr 三侠
svsr 三俗
svbr 三倍
svvu 三儿
svyv 三元
svzp 三兆
svgx 三光
svbp 三八
svgu 三公
svgb 三关
svch 三册
svjg 三军
svno 三农
svdw 三冬
svld 三凌
svjv 三击
svfu 三分
svld 三列
svzb 三则
svcl 三创
svlu 三利
svdl 三到
svjl 三剑
svfl 三副
svla 三力
svbb 三包
svhr 三化
svbs 三北
svqk 三区
svsh 三十
svqs 三千
svbs 三博
svjb 三卷
svch 三厂
svtc 三厅
svxc 三厢
svxs 三县
svcy 三叉
svyy 三友
svsa 三双
svfy 三反
svsy 三叔
svbw 三变
svdy 三叠
svki 三口
svjb 三句
svzk 三只
svts 三台
svyk 三叶
svhk 三号
svsk 三司
svhr 三合
svti 三同
svmu 三名
svzk 三周
svwk 三味
svhh 三和
svpi 三品
svgk 三哥
svxt 三喜
svmk 三喵
svsk 三四
svhi 三回
svwk 三围
svgi 三国
svqk 三圈
svsy 三圣
svdt 三地
svct 三场
svkt 三块
svjq 三基
svtt 三堂
svbt 三堡
svtt 三塔
svtt 三塘
svdt 三墩
svst 三声
svcw 三处
svxw 三夏
svwu 三外
svdx 三多
svyw 三夜
svde 三大
svte 三天
svfe 三夫
svto 三头
svqd 三奇
svtd 三套
svnz 三女
svha 三好
svjn 三姐
svgn 三姑
svyn 三姨
svnn 三娘
svsn 三嫂
svza 三子
svka 三孔
svzg 三字
svjh 三季
svxx 三学
svzg 三宅
svdg 三定
svbg 三宝
svsg 三审
svsg 三室
svgg 三宫
svhg 三害
svjo 三家
svch 三寸
svda 三对
svxi 三小
svsx 三少
svcs 三尺
svjs 三局
svcs 三层
svjs 三居
svjs 三届
svss 三属
svss 三山
svss 三岁
svcs 三岔
svxs 三峡
svfs 三峰
svcp 三川
svsj 三师
svdw 三帝
svfj 三幅
svph 三平
svnu 三年
svfg 三废
svdg 三度
svzg 三座
svjl 三建
svdb 三弟
svzg 三张
svxg 三弦
svqa 三强
svgx 三归
svcp 三彩
svxo 三心
svpo 三怕
svst 三思
svxl 三性
svgl 三怪
svvx 三恶
svce 三成
svhd 三户
svfh 三房
svsj 三所
svsu 三手
svch 三才
svdf 三打
svpf 三批
svbe 三把
svzf 三抓
svzf 三折
svzf 三招
svqs 三拳
svgf 三挂
svzf 三指
svdf 三挡
svpf 三排
svtf 三探
svtf 三提
svzs 三支
svjw 三教
svxj 三新
svfo 三方
svwe 三无
svri 三日
svxb 三旬
svsq 三时
svmi 三明
svxq 三星
svcq 三春
svmq 三昧
svsq 三是
svjq 三晋
svpb 三普
svgh 三更
svyp 三月
svye 三有
svcv 三朝
svqq 三期
svmh 三木
svbm 三本
svcm 三材
svcm 三村
svtw 三条
svle 三来
svbm 三杯
svjm 三杰
svbm 三板
svjm 三极
svlm 三林
svmm 三枚
svcm 三查
svlm 三栏
svqm 三栖
svxm 三校
svzm 三株
svgm 三根
svwm 三桅
svvm 三案
svdm 三档
svqm 三桥
svtm 三桶
svlm 三棱
svlm 三楼
svbm 三榜
svhm 三槐
svmm 三模
svhm 三横
svco 三次
svkq 三款
svze 三正
svbn 三步
svds 三段
svbh 三比
svmp 三毛
svma 三民
svqp 三气
svyq 三氧
svss 三水
svqh 三求
svhd 三汇
svjd 三江
svhd 三河
svfd 三法
svyd 三洋
svzd 三洲
svpd 三派
svld 三流
svhd 三海
svtd 三涂
svqd 三清
svxd 三湘
svzh 三灶
svdb 三点
svjz 三焦
svvz 三爱
svyf 三爷
svbp 三版
svsn 三牲
svsq 三狮
svmq 三猛
svmq 三猫
svxw 三玄
svhw 三环
svbw 三班
svsn 三生
svjq 三甲
svjt 三界
svlt 三略
svft 三番
svbh 三百
svdb 三的
svhb 三皇
svpm 三盆
svsm 三盛
svms 三目
svmm 三盲
svxm 三相
svpm 三盼
svsm 三省
svxm 三省
svku 三看
svms 三码
svqh 三秋
svzh 三种
svmh 三秒
svqh 三秦
svlo 三立
svzl 三站
svdp 三等
svjp 三简
svgp 三管
svpp 三篇
svmd 三米
svlm 三类
svxx 三系
svjj 三级
svgj 三纲
svzj 三纵
svxa 三线
svzj 三组
svjj 三绝
svtj 三统
svwa 三维
svwk 三网
svyd 三羊
svlt 三老
svzt 三者
svzv 三职
svlv 三联
svjv 三聚
svgv 三股
svtv 三胎
svpv 三胖
svsv 三胜
svzv 三脂
svtv 三脱
svzt 三至
svjj 三舅
svsz 三艘
svsd 三色
svjc 三节
svhc 三花
svsc 三苏
svhc 三荒
svlc 三菱
svzc 三藏
svfc 三藩
svcs 三虫
svhc 三行
svjc 三街
svyx 三要
svgy 三观
svjp 三角
svyd 三言
svro 三让
svjy 三讲
svzy 三证
svpy 三评
svyy 三语
svny 三诺
svzb 三资
svyb 三赢
svqe 三起
svcz 三超
svzs 三足
svkz 三跨
svlz 三路
svbz 三蹦
svzc 三转
svlc 三轮
svzc 三载
svlc 三辆
svba 三边
svll 三辽
svje 三进
svll 三连
svxl 三选
svtl 三通
svsl 三速
svbl 三遍
svdo 三道
svlv 三郎
svbo 三部
svdv 三都
svli 三里
svcv 三重
svyl 三野
svjp 三金
svxj 三鑫
svtj 三铁
svjj 三键
svzj 三镇
svmo 三门
svwm 三问
svjm 三间
svfv 三防
svyv 三阳
svyv 三阴
svxv 三限
svyv 三院
svxv 三险
svpv 三陪
svny 三难
svkn 三靠
svme 三面
svdy 三顶
svxg 三项
svsy 三顺
svgy 三顾
svdy 三顿
svky 三颗
svcs 三餐
svsb 三首
svmz 三马
svgo 三高
svxv 三鲜
svnp 三鸟
svld 三鹿
svmw 三麦
svdm 三鼎
siyh 上一
siwh 上万
sisi 上上
sixb 上下
sibh 上不
sisc 上世
sigr 上个
sizi 上中
siwo 上为
sijx 上举
sicp 上乘
sijp 上九
siya 上也
sisz 上书
silz 上了
silz 上了
sijw 上交
sijw 上京
sirp 上人
siyr 上亿
sicu 上从
sitr 上他
sidr 上代
siyr 上以
sirr 上任
sihu 上会
sicr 上传
siwr 上位
situ 上体
sizr 上作
sinr 上你
sijr 上佳
silr 上例
sigr 上供
sicr 上侧
sizr 上做
siyv 上元
sigx 上光
sidv 上党
sigb 上关
sich 上册
sixg 上写
sizg 上冢
sicd 上冲
sidd 上冻
sifu 上分
siqd 上切
sixl 上刑
sild 上列
sizb 上则
sidl 上到
sikl 上刻
siqo 上前
sijl 上加
sijl 上劲
siqs 上千
sisn 上升
siwp 上午
sibd 上半
sidb 上单
sikb 上卡
siqv 上却
sijb 上卷
siyc 上原
siqt 上去
siyz 上又
siki 上口
sigs 上古
sijb 上句
sizk 上只
sikk 上可
sits 上台
siyk 上叶
sisk 上司
sidk 上吊
sixk 上向
sibk 上吧
siyk 上呀
sick 上呈
sign 上告
sink 上呢
sizk 上周
simr 上命
sipi 上品
sisk 上哨
sink 上哪
sicc 上唇
sihi 上回
sitk 上图
sith 上土
sidt 上地
sict 上场
sift 上坊
sift 上坟
sipt 上坡
sitt 上堂
siqt 上墙
sist 上士
sist 上声
siwu 上外
sidx 上多
siyw 上夜
side 上大
site 上天
sito 上头
sizv 上奏
sitd 上套
sita 上她
siha 上好
sixx 上学
siwg 上完
sigg 上官
sikg 上客
sijo 上家
sibg 上宾
sisc 上寿
sijz 上将
siwc 上尉
sijw 上就
sics 上层
sijs 上届
siws 上屋
sips 上屏
sith 上屯
siss 上山
sigs 上岗
sids 上岛
sils 上岭
sivs 上岸
sifs 上峰
sigh 上工
sisw 上市
sisj 上师
sidw 上帝
sixg 上席
sinu 上年
sizg 上庄
sicg 上床
siyg 上应
sizg 上座
sitg 上庭
silg 上廉
sike 上开
sisg 上式
sigz 上弓
sixg 上弦
sidi 上当
sihc 上很
sixo 上心
sivx 上恩
siql 上情
siyo 上意
sigx 上感
sixy 上戏
siwg 上我
sihd 上户
sifh 上房
sisu 上手
siyf 上扬
sipf 上批
sicz 上承
sibe 上把
sitf 上投
sipf 上抛
sibf 上报
silf 上拉
sigf 上挂
sivf 上按
sipf 上排
sitf 上推
sitf 上提
simf 上摸
sicf 上操
sigg 上攻
siwd 上文
sixj 上新
sifo 上方
sixf 上旋
sixb 上旬
sisq 上时
simi 上明
sixq 上星
siyq 上映
sizs 上昼
sizq 上智
siyq 上曰
sigh 上更
siyp 上月
siye 上有
siww 上望
sicv 上朝
siqq 上期
sibm 上本
sijm 上机
sicm 上村
sile 上来
sihm 上杭
silm 上林
sijm 上架
sigm 上柜
sibm 上标
silm 上栏
sism 上树
sixm 上校
sigm 上根
sikm 上框
sizb 上桌
sidm 上档
siqm 上桥
silm 上梁
silm 上楼
sibm 上榜
sico 上次
sikq 上款
sibn 上步
sids 上段
sids 上殿
siqp 上气
siss 上水
sijd 上江
siqd 上汽
siyd 上油
siyd 上沿
siwd 上洼
sild 上流
sijs 上浆
sihd 上浣
sifd 上浮
sihd 上海
sitd 上涂
sixd 上消
siyd 上涌
sizd 上涨
siqd 上清
siyd 上游
sisd 上溯
sihd 上滑
sigd 上滚
siqd 上漆
siyd 上演
sihd 上火
sidh 上灯
sikh 上炕
sijz 上焦
sizl 上照
sipz 上爬
sipp 上牌
siyq 上犹
sihw 上环
sibw 上班
sidq 上电
sihh 上画
sijt 上界
silt 上略
sisy 上疏
siyb 上瘾
sibh 上百
sidb 上的
sipa 上皮
sigy 上盖
sipz 上盘
sixm 上相
siku 上看
siyi 上眼
sijm 上睑
siys 上砚
sipe 上破
sipx 上票
siyh 上移
sish 上税
sikx 上空
siqx 上窍
sicx 上窜
sizl 上站
sizy 上章
sidl 上端
sidp 上等
sicp 上策
siqp 上签
sisp 上算
sipp 上篇
silp 上篮
sicm 上粗
sifm 上粪
sijx 上紧
sijj 上级
sigj 上纲
sixa 上线
sibj 上编
siyj 上缘
sijj 上缴
siwk 上网
sizz 上置
siqv 上翘
sifv 上翻
silv 上联
sizv 上肢
sifv 上肥
sins 上能
sinv 上脑
siwv 上脘
silv 上脸
sivv 上腭
sifv 上腹
sibv 上膘
sitv 上膛
sibv 上臂
sizt 上至
sihz 上航
sicz 上船
sisd 上色
sijc 上节
sicc 上苍
sicc 上茶
siyc 上药
sicc 上菜
silc 上菱
silc 上落
sicc 上蔟
sicc 上蔡
siyh 上虞
silc 上蜡
sixc 上行
sijc 上街
siyd 上衣
sibv 上表
sizy 上装
siyx 上要
sijp 上角
sijy 上计
sijy 上讲
sify 上访
sizy 上证
sisy 上诉
siso 上说
siky 上课
sidy 上调
sity 上调
siyy 上谒
siyy 上谕
sigg 上贡
sizb 上账
sihb 上货
sitb 上贴
sizs 上足
silz 上路
sisp 上身
sich 上车
sigc 上轨
silc 上轮
sizc 上载
sijc 上轿
sibc 上辈
siba 上边
sidl 上达
sige 上过
sihe 上还
sizl 上这
sije 上进
sisl 上述
sinl 上逆
sixl 上选
sido 上道
sibo 上部
sidv 上都
siyp 上釉
sijp 上金
sizj 上钟
sigj 上钩
sipj 上铺
silj 上链
sisj 上锁
sicj 上错
sijj 上键
sijj 上镜
simo 上门
sism 上闩
siqm 上阙
sizv 上阵
sicv 上陈
sixv 上限
siyv 上院
sica 上除
sijz 上集
sime 上面
sixg 上鞋
siyh 上页
sixg 上项
sidy 上顿
sihy 上颌
sivy 上颚
sifp 上风
sifs 上饭
sirs 上饶
sisb 上首
sixh 上香
simz 上马
sics 上齿
xbyh 下一
xbsi 下上
xbxb 下下
xbsc 下世
xbqp 下丘
xbgr 下个
xbls 下临
xbwo 下为
xbcp 下乘
xbjp 下九
xbxz 下乡
xbsz 下书
xbrz 下乳
xblz 下了
xblz 下了
xbjv 下井
xbrp 下人
xbdr 下代
xblr 下令
xbrr 下任
xbcr 下传
xbwr 下位
xbtu 下体
xbyr 下余
xbzr 下作
xblr 下例
xbcr 下侧
xbbr 下保
xblr 下俩
xbqr 下倾
xblr 下僚
xbyv 下元
xbgb 下关
xbch 下册
xbcd 下冲
xbfj 下凡
xbdz 下刀
xbqd 下切
xbld 下列
xblu 下利
xbdl 下到
xbsl 下剩
xbla 下力
xblx 下劣
xbjl 下劲
xbsb 下勺
xbwp 下午
xbbd 下半
xbdb 下单
xbkb 下卡
xbjb 下卷
xbyc 下压
xbcc 下厨
xbqt 下去
xbfy 下发
xbki 下口
xbjb 下句
xbkk 下可
xbts 下台
xbti 下同
xblh 下吏
xbbk 下吧
xbhr 下含
xbzk 下周
xbyk 下咽
xbpi 下品
xbcc 下唇
xblk 下啦
xbhi 下回
xbtk 下图
xbth 下土
xbdt 下地
xbct 下场
xbzt 下坠
